title,imdbId,imdb_rating
Toy Story (1995),114709,8.3
Jumanji (1995),113497,6.5
Grumpier Old Men (1995),113228,7.0
Heat (1995),113277,8.3
Sabrina (1995),114319,7.6
GoldenEye (1995),113189,6.5
"American President, The (1995)",112346,6.9
Casino (1995),112641,8.7
Sense and Sensibility (1995),114388,7.8
Ace Ventura: When Nature Calls (1995),112281,6.9
Get Shorty (1995),113161,5.6
Leaving Las Vegas (1995),113627,7.3
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),114746,7.6
Babe (1995),112431,5.8
Dead Man Walking (1995),112818,7.6
Clueless (1995),112697,7.1
Seven (a.k.a. Se7en) (1995),114369,8.8
Pocahontas (1995),114148,7.7
"Usual Suspects, The (1995)",114814,8.5
Mr. Holland's Opus (1995),113862,7.4
From Dusk Till Dawn (1996),116367,7.0
Broken Arrow (1996),115759,7.3
Happy Gilmore (1996),116483,6.4
Braveheart (1995),112573,8.5
Taxi Driver (1976),75314,8.3
"Birdcage, The (1996)",115685,6.7
Bad Boys (1995),112442,6.6
Apollo 13 (1995),112384,7.7
Batman Forever (1995),112462,3.8
Casper (1995),112642,6.4
Congo (1995),112715,6.5
Crimson Tide (1995),112740,7.5
Desperado (1995),112851,6.8
Die Hard: With a Vengeance (1995),112864,7.1
First Knight (1995),113071,6.9
Johnny Mnemonic (1995),113481,6.2
Judge Dredd (1995),113492,6.7
"Net, The (1995)",113957,6.2
Waterworld (1995),114898,6.9
Clerks (1994),109445,7.3
Disclosure (1994),109635,6.6
Dumb & Dumber (Dumb and Dumber) (1994),109686,5.6
Ed Wood (1994),109707,7.9
Interview with the Vampire: The Vampire Chronicles (1994),110148,7.4
Star Wars: Episode IV - A New Hope (1977),76759,8.7
Legends of the Fall (1994),110322,7.1
Natural Born Killers (1994),110632,7.2
Outbreak (1995),114069,6.8
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),110413,8.5
Pulp Fiction (1994),110912,8.8
Quiz Show (1994),110932,7.4
Stargate (1994),111282,8.4
"Santa Clause, The (1994)",111070,5.7
"Shawshank Redemption, The (1994)",111161,9.2
Star Trek: Generations (1994),111280,7.6
What's Eating Gilbert Grape (1993),108550,7.3
While You Were Sleeping (1995),114924,6.1
Ace Ventura: Pet Detective (1994),109040,6.4
Clear and Present Danger (1994),109444,6.8
"Client, The (1994)",109446,6.6
"Crow, The (1994)",109506,4.6
Forrest Gump (1994),109830,8.8
Four Weddings and a Funeral (1994),109831,7.2
"Lion King, The (1994)",110357,8.3
"Mask, The (1994)",110475,6.9
Maverick (1994),110478,6.6
Naked Gun 33 1/3: The Final Insult (1994),110622,6.9
Speed (1994),111257,7.4
True Lies (1994),111503,6.5
Addams Family Values (1993),106220,6.9
Beverly Hills Cop III (1994),109254,6.6
City Slickers II: The Legend of Curly's Gold (1994),109439,6.8
Cliffhanger (1993),106582,6.4
Coneheads (1993),106598,6.2
Dave (1993),106673,6.8
Demolition Man (1993),106697,5.6
"Firm, The (1993)",106918,7.7
"Fugitive, The (1993)",106977,6.6
Hot Shots! Part Deux (1993),107144,6.7
In the Line of Fire (1993),107206,6.7
Jurassic Park (1993),107290,6.6
Last Action Hero (1993),107362,6.2
Mrs. Doubtfire (1993),107614,7.3
Philadelphia (1993),107818,7.7
"Piano, The (1993)",107822,7.5
Robin Hood: Men in Tights (1993),107977,7.1
Schindler's List (1993),108052,9.3
Sleepless in Seattle (1993),108160,6.7
Blade Runner (1982),83658,8.0
"Nightmare Before Christmas, The (1993)",107688,7.4
"Three Musketeers, The (1993)",108333,6.5
Tombstone (1993),108358,7.6
True Romance (1993),108399,7.2
Home Alone (1990),99785,6.9
Ghost (1990),99653,7.1
Aladdin (1992),103639,8.5
Terminator 2: Judgment Day (1991),103064,8.1
Dances with Wolves (1990),99348,6.1
Batman (1989),96895,7.1
"Silence of the Lambs, The (1991)",102926,8.6
Snow White and the Seven Dwarfs (1937),29583,7.3
Beauty and the Beast (1991),101414,7.6
Pinocchio (1940),32910,7.6
Pretty Woman (1990),100405,7.2
Fargo (1996),116282,8.1
Mission: Impossible (1996),117060,6.1
Dragonheart (1996),116136,6.0
Space Jam (1996),117705,4.5
"Truth About Cats & Dogs, The (1996)",117979,6.5
"Rock, The (1996)",117500,6.9
Twister (1996),117998,6.7
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),57012,8.4
Trainspotting (1996),117951,7.2
Independence Day (a.k.a. ID4) (1996),116629,5.2
"Cable Guy, The (1996)",115798,6.6
Eraser (1996),116213,5.9
"Nutty Professor, The (1996)",117218,4.5
"Godfather, The (1972)",68646,9.0
Vertigo (1958),52357,8.5
Rear Window (1954),47396,8.3
North by Northwest (1959),53125,8.3
Casablanca (1942),34583,8.3
"Wizard of Oz, The (1939)",32138,8.1
Citizen Kane (1941),33467,8.3
2001: A Space Odyssey (1968),62622,8.2
It's a Wonderful Life (1946),38650,8.5
Mary Poppins (1964),58331,6.7
"Sound of Music, The (1965)",59742,8.1
Die Hard (1988),95016,7.1
Willy Wonka & the Chocolate Factory (1971),67992,6.7
"Fish Called Wanda, A (1988)",95159,6.4
Monty Python's Life of Brian (1979),79470,8.2
Reservoir Dogs (1992),105236,8.9
Platoon (1986),91763,8.2
E.T. the Extra-Terrestrial (1982),83866,7.7
Top Gun (1986),92099,8.2
"Abyss, The (1989)",96754,7.5
Monty Python and the Holy Grail (1975),71853,8.0
Wallace & Gromit: The Wrong Trousers (1993),108598,8.1
One Flew Over the Cuckoo's Nest (1975),73486,8.7
Star Wars: Episode V - The Empire Strikes Back (1980),80684,8.6
"Princess Bride, The (1987)",93779,7.3
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),82971,8.2
Brazil (1985),88846,7.1
Aliens (1986),90605,8.5
"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",60196,8.2
12 Angry Men (1957),50083,9.0
"Clockwork Orange, A (1971)",66921,8.2
To Kill a Mockingbird (1962),56592,8.3
Apocalypse Now (1979),78788,8.2
Star Wars: Episode VI - Return of the Jedi (1983),86190,8.7
Goodfellas (1990),99685,9.0
Alien (1979),78748,8.4
Army of Darkness (1993),106308,7.7
Psycho (1960),54215,8.5
"Blues Brothers, The (1980)",80455,4.9
"Godfather: Part II, The (1974)",71562,9.2
Full Metal Jacket (1987),93058,8.2
Amadeus (1984),86879,8.4
Annie Hall (1977),75686,7.8
"Sting, The (1973)",70735,8.0
"Terminator, The (1984)",88247,8.6
Dead Poets Society (1989),97165,8.3
"Graduate, The (1967)",61722,7.8
Chinatown (1974),71315,8.1
"Shining, The (1980)",81505,8.2
Stand by Me (1986),92005,8.0
Groundhog Day (1993),107048,8.2
Back to the Future (1985),88763,7.8
Cool Hand Luke (1967),61512,8.3
Young Frankenstein (1974),72431,7.7
Fantasia (1940),32455,7.1
This Is Spinal Tap (1984),88258,7.5
Indiana Jones and the Last Crusade (1989),97576,8.4
Field of Dreams (1989),97351,7.8
Butch Cassidy and the Sundance Kid (1969),64115,8.3
When Harry Met Sally... (1989),98635,6.7
Star Trek: First Contact (1996),117731,6.4
Die Hard 2 (1990),99423,7.6
Star Trek II: The Wrath of Khan (1982),84726,6.6
Batman Returns (1992),103776,7.5
Grease (1978),77631,7.1
Jaws (1975),73195,8.2
Mars Attacks! (1996),116996,7.3
Jerry Maguire (1996),116695,8.0
Raising Arizona (1987),93822,7.7
Scream (1996),117571,6.3
Donnie Brasco (1997),119008,7.9
Liar Liar (1997),119528,6.8
Grosse Pointe Blank (1997),119229,7.4
Austin Powers: International Man of Mystery (1997),118655,6.7
"Fifth Element, The (1997)",119116,7.3
"Lost World: Jurassic Park, The (1997)",119567,5.9
Con Air (1997),118880,7.4
Face/Off (1997),119094,6.9
Men in Black (a.k.a. MIB) (1997),119654,6.2
Contact (1997),118884,7.7
Air Force One (1997),118571,6.9
"Hunt for Red October, The (1990)",99810,6.8
L.A. Confidential (1997),119488,8.3
"Game, The (1997)",119174,7.9
Chasing Amy (1997),118842,7.0
"Full Monty, The (1997)",119164,7.1
The Devil's Advocate (1997),118971,8.0
Gattaca (1997),119177,7.5
Starship Troopers (1997),120201,7.5
"Truman Show, The (1998)",120382,8.1
Good Will Hunting (1997),119217,8.1
Titanic (1997),120338,7.9
"Big Lebowski, The (1998)",118715,8.1
"Wedding Singer, The (1998)",120888,6.4
As Good as It Gets (1997),119822,6.7
Armageddon (1998),120591,6.5
There's Something About Mary (1998),129387,7.0
Rocky (1976),75148,7.3
Rain Man (1988),95953,7.3
"Breakfast Club, The (1985)",88847,7.8
"Exorcist, The (1973)",70047,8.1
Lethal Weapon (1987),93409,7.3
"Goonies, The (1985)",89218,7.9
"Mask of Zorro, The (1998)",120746,6.0
Back to the Future Part II (1989),96874,7.4
Back to the Future Part III (1990),99088,7.8
Saving Private Ryan (1998),120815,8.8
"Honey, I Shrunk the Kids (1989)",97523,4.9
"Jungle Book, The (1967)",61852,7.3
Lady and the Tramp (1955),48280,7.3
"Little Mermaid, The (1989)",97757,8.0
Splash (1984),88161,6.2
Indiana Jones and the Temple of Doom (1984),87469,8.2
Blade (1998),120611,6.7
Beetlejuice (1988),94721,7.9
"Untouchables, The (1987)",94226,7.9
"Few Good Men, A (1992)",104257,7.3
Edward Scissorhands (1990),99487,7.3
My Cousin Vinny (1992),104952,7.6
Pleasantville (1998),120789,7.2
Life Is Beautiful (La Vita è bella) (1997),118799,8.5
American History X (1998),120586,8.5
Enemy of the State (1998),120660,7.3
"Bug's Life, A (1998)",120623,7.9
Rushmore (1998),128445,7.6
Shakespeare in Love (1998),138097,7.4
Romancing the Stone (1984),88011,6.1
Crocodile Dundee (1986),90555,5.7
Office Space (1999),151804,7.0
Planet of the Apes (1968),63442,6.0
"Lock, Stock & Two Smoking Barrels (1998)",120735,8.2
"Matrix, The (1999)",133093,8.8
10 Things I Hate About You (1999),147800,6.9
Election (1999),126886,7.5
"Mummy, The (1999)",120616,6.4
Star Wars: Episode I - The Phantom Menace (1999),120915,6.6
Superman (1978),78346,6.8
"Rocky Horror Picture Show, The (1975)",73629,7.1
Notting Hill (1999),125439,7.1
Austin Powers: The Spy Who Shagged Me (1999),145660,7.0
Run Lola Run (Lola rennt) (1998),130827,3.7
Arachnophobia (1990),99052,7.2
"South Park: Bigger, Longer and Uncut (1999)",158983,8.4
Wild Wild West (1999),120891,5.8
American Pie (1999),163651,6.4
"Blair Witch Project, The (1999)",185937,7.1
Eyes Wide Shut (1999),120663,8.1
Ghostbusters (a.k.a. Ghost Busters) (1984),87332,6.6
"Sixth Sense, The (1999)",167404,8.2
Airplane! (1980),80339,6.2
Big (1988),94737,7.8
"Christmas Story, A (1983)",85334,6.7
American Beauty (1999),169547,8.3
Total Recall (1990),100802,7.6
Ferris Bueller's Day Off (1986),91042,7.8
Goldfinger (1964),58150,7.3
Fight Club (1999),137523,8.8
RoboCop (1987),93870,5.8
Who Framed Roger Rabbit? (1988),96438,6.8
Being John Malkovich (1999),120601,7.7
Spaceballs (1987),94012,6.7
Dogma (1999),120655,6.8
Sleepy Hollow (1999),162661,7.3
Toy Story 2 (1999),120363,8.3
"Green Mile, The (1999)",120689,8.8
Magnolia (1999),175880,7.9
Galaxy Quest (1999),177789,6.7
Wayne's World (1992),105793,6.2
Erin Brockovich (2000),195685,7.1
Animal House (1978),77975,7.2
Close Encounters of the Third Kind (1977),75860,7.2
High Fidelity (2000),146882,7.3
Hook (1991),102057,7.1
Predator (1987),93773,6.3
American Psycho (2000),144084,8.8
Caddyshack (1980),80487,7.3
Gladiator (2000),172495,8.7
Mission: Impossible II (2000),120755,6.9
Blazing Saddles (1974),71230,8.0
Gone in 60 Seconds (2000),187078,6.9
Chicken Run (2000),120630,6.4
"Patriot, The (2000)",187393,7.2
X-Men (2000),120903,7.4
Almost Famous (2000),181875,7.6
Best in Show (2000),218839,7.2
Meet the Parents (2000),212338,6.3
Requiem for a Dream (2000),180093,8.3
Charlie's Angels (2000),160127,4.9
Unbreakable (2000),217869,6.6
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",190332,7.9
Snatch (2000),208092,8.1
What Women Want (2000),207201,7.6
Cast Away (2000),162222,7.4
Miss Congeniality (2000),212346,5.2
"O Brother, Where Art Thou? (2000)",190590,7.6
Traffic (2000),181865,7.6
Memento (2000),209144,8.5
Blow (2001),221027,7.5
Bridget Jones's Diary (2001),243155,6.0
Scarface (1983),86250,8.2
Shrek (2001),126029,7.3
Moulin Rouge (2001),203009,6.7
A.I. Artificial Intelligence (2001),212720,6.9
Legally Blonde (2001),250494,4.8
"Others, The (2001)",230600,7.1
Training Day (2001),139654,7.8
Zoolander (2001),196229,4.7
Mulholland Drive (2001),166924,7.6
Donnie Darko (2001),246578,7.8
"Monsters, Inc. (2001)",198781,8.2
Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),241527,7.4
Ocean's Eleven (2001),240772,6.5
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",211915,8.6
"Royal Tenenbaums, The (2001)",265666,7.2
"Lord of the Rings: The Fellowship of the Ring, The (2001)",120737,8.8
"Beautiful Mind, A (2001)",268978,8.3
Ice Age (2002),268380,6.8
My Big Fat Greek Wedding (2002),259446,6.0
Spider-Man (2002),145487,7.5
Star Wars: Episode II - Attack of the Clones (2002),121765,6.5
"Bourne Identity, The (2002)",258463,7.7
Minority Report (2002),181689,6.5
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),120912,6.8
Austin Powers in Goldmember (2002),295178,6.7
Signs (2002),286106,6.6
Spirited Away (Sen to Chihiro no kamikakushi) (2001),245429,8.2
Bowling for Columbine (2002),310793,7.5
Harry Potter and the Chamber of Secrets (2002),295297,7.9
"Lord of the Rings: The Two Towers, The (2002)",167261,9.0
Gangs of New York (2002),217505,7.5
Catch Me If You Can (2002),264464,8.2
City of God (Cidade de Deus) (2002),317248,8.6
X2: X-Men United (2003),290334,6.6
"Matrix Reloaded, The (2003)",234215,6.7
Bruce Almighty (2003),315327,6.9
Finding Nemo (2003),266543,8.1
"Italian Job, The (2003)",317740,6.8
28 Days Later (2002),289043,6.9
Pirates of the Caribbean: The Curse of the Black Pearl (2003),325980,7.4
Lost in Translation (2003),335266,8.0
School of Rock (2003),332379,7.1
Mystic River (2003),327056,7.7
Kill Bill: Vol. 1 (2003),266697,8.0
"Matrix Revolutions, The (2003)",242653,7.2
Love Actually (2003),314331,7.2
"Last Samurai, The (2003)",325710,7.3
Big Fish (2003),319061,7.9
"Lord of the Rings: The Return of the King, The (2003)",167260,8.8
Eternal Sunshine of the Spotless Mind (2004),338013,8.2
Kill Bill: Vol. 2 (2004),378194,8.2
Shrek 2 (2004),298148,7.9
Harry Potter and the Prisoner of Azkaban (2004),304141,7.4
Spider-Man 2 (2004),316654,7.4
Anchorman: The Legend of Ron Burgundy (2004),357413,6.3
"I, Robot (2004)",343818,7.2
"Bourne Supremacy, The (2004)",372183,8.0
Shaun of the Dead (2004),365748,7.8
"Incredibles, The (2004)",317705,8.1
